YEAR,REGION,TOPONIMIA,SEXO,CASOS
2021,Región VI,San Juan,masculino,15
2021,Región VII,Dajabón,masculino,2
2021,Región VII,Monte Cristi,masculino,3
2021,Región VII,Santiago Rodríguez,masculino,0
2021,Región VII,Valverde,masculino,1
2021,Región VIII,La Vega,masculino,3
2021,Región VIII,Monseñor Nouel,masculino,3
2021,Región VIII,Sánchez Ramírez,masculino,5
2021,Región 0,Distrito Nacional,femenino,162
2021,Región 0,Monte Plata,femenino,14
2021,Región 0,Santo Domingo,femenino,87
2021,Región I,Peravia,femenino,4
2021,Región I,San Cristóbal,femenino,30
2021,Región I,San José de Ocoa,femenino,6
2021,Región II,Espaillat,femenino,6
2021,Región II,Puerto Plata,femenino,7
2021,Región II,Santiago,femenino,7
2021,Región III,Duarte,femenino,10
2021,Región III,Hermanas Mirabal,femenino,1
2021,Región III,María Trinidad Sánchez,femenino,11
2021,Región III,Samaná,femenino,4
2021,Región IV,Bahoruco,femenino,6
2021,Región IV,Barahona,femenino,10
2021,Región IV,Independencia,femenino,1
2021,Región IV,Pedernales,femenino,2
2021,Región V,El Seibo,femenino,7
2021,Región V,Hato Mayor,femenino,7
2021,Región V,La Altagracia,femenino,8
2021,Región V,La Romana,femenino,3
2021,Región V,San Pedro de Macorís,femenino,10
2021,Región VI,Azua,femenino,18
2021,Región VI,Elías Piña,femenino,7
2021,Región VI,San Juan,femenino,25
2021,Región VII,Dajabón,femenino,4
2021,Región VII,Monte Cristi,femenino,2
2021,Región VII,Santiago Rodríguez,femenino,2
2021,Región VII,Valverde,femenino,3
2021,Región VIII,La Vega,femenino,8
2021,Región VIII,Monseñor Nouel,femenino,7
2021,Región VIII,Sánchez Ramírez,femenino,11
2017,Región 0,Distrito Nacional,masculino,44
2017,Región VI,Azua,masculino,15
2017,Región IV,Bahoruco,masculino,12
2017,Región IV,Barahona,masculino,18
2017,Región VII,Dajabón,masculino,4
2017,Región III,Duarte,masculino,14
2017,Región V,El Seibo,masculino,4
2017,Región VI,Elías Piña,masculino,8
2017,Región II,Espaillat,masculino,14
2017,Región V,Hato Mayor,masculino,9
2017,Región III,Hermanas Mirabal,masculino,8
2017,Región IV,Independencia,masculino,3
2017,Región V,La Altagracia,masculino,15
2017,Región V,La Romana,masculino,5
2017,Región VIII,La Vega,masculino,17
2017,Región III,María Trinidad Sánchez,masculino,9
